name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
The Watcher in the Woods,PG,Family,1980,"October 9, 1981 (United States)",6.3,5700,John Hough,Brian Clemens,Bette Davis,United States,,5000000,Walt Disney Productions,84
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980 (United States)",5,5300,Vincent McEveety,Don Tait,Charles Martin Smith,United States,,18000000,Walt Disney Productions,100
The Last Flight of Noah's Ark,G,Adventure,1980,"June 25, 1980 (United States)",5.8,1300,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,6000000,11000000,Walt Disney Productions,97
The Fox and the Hound,G,Animation,1981,"July 10, 1981 (United States)",7.3,87000,Directors,Daniel P. Mannix,Mickey Rooney,United States,12000000,63456988,Walt Disney Animation Studios,83
The Devil and Max Devlin,PG,Comedy,1981,"March 6, 1981 (United States)",5,1200,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,United States,,16000000,Walt Disney Productions,96
Tron,PG,Action,1982,"July 9, 1982 (United States)",6.8,115000,Steven Lisberger,Steven Lisberger,Jeff Bridges,United States,17000000,33000525,Walt Disney Productions,96
Tex,PG,Drama,1982,"July 30, 1982 (United States)",6.5,2000,Tim Hunter,S.E. Hinton,Matt Dillon,United States,,7400000,Walt Disney Productions,103
Night Crossing,PG,Drama,1982,"February 5, 1982 (United States)",6.5,1300,Delbert Mann,John McGreevey,John Hurt,United Kingdom,10000000,8000000,Walt Disney Productions,107
Something Wicked This Way Comes,PG,Fantasy,1983,"April 29, 1983 (United States)",6.8,8600,Jack Clayton,Ray Bradbury,Jason Robards,United States,19000000,8400000,Walt Disney Productions,95
Never Cry Wolf,PG,Adventure,1983,"January 27, 1984 (United States)",7.5,7800,Carroll Ballard,Farley Mowat,Charles Martin Smith,United States,,29600000,Walt Disney Pictures,105
Trenchcoat,PG,Comedy,1983,"March 11, 1983 (United States)",5.3,456,Michael Tuchner,Jeffrey Price,Margot Kidder,United States,5000000,4304286,Walt Disney Productions,91
The Black Cauldron,PG,Animation,1985,"July 24, 1985 (United States)",6.4,33000,Ted Berman,Lloyd Alexander,Grant Bardsley,United States,44000000,21288692,Walt Disney Pictures,80
The Journey of Natty Gann,PG,Adventure,1985,"September 27, 1985 (United States)",7,5600,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,United States,,9708373,Walt Disney Pictures,101
One Magic Christmas,G,Family,1985,"November 22, 1985 (United States)",6.5,3400,Phillip Borsos,Thomas Meehan,Mary Steenburgen,Canada,,13677222,Walt Disney Pictures,89
Flight of the Navigator,PG,Adventure,1986,"August 1, 1986 (United States)",6.9,45000,Randal Kleiser,Mark H. Baker,Joey Cramer,United States,9000000,18564613,Walt Disney Pictures,90
The Great Mouse Detective,G,Animation,1986,"July 2, 1986 (United States)",7.2,46000,Directors,Peter Young,Vincent Price,United States,14000000,38625550,Walt Disney Pictures,74
Oliver & Company,G,Animation,1988,"November 18, 1988 (United States)",6.7,45000,George Scribner,Jim Cox,Joey Lawrence,United States,31000000,74151346,Walt Disney Animation Studios,74
The Little Mermaid,G,Animation,1989,"November 17, 1989 (United States)",7.6,244000,Ron Clements,John Musker,Jodi Benson,United States,40000000,211343479,Walt Disney Pictures,83
"Honey, I Shrunk the Kids",PG,Adventure,1989,"June 23, 1989 (United States)",6.4,146000,Joe Johnston,Stuart Gordon,Rick Moranis,United States,18000000,222724172,Walt Disney Pictures,93
