rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea","In 1866, Professor Pierre M. Aronnax (Paul Lukas) and his assistant Conseil (Peter Lorre), stranded in San Francisco by reports of a giant sea monster attacking ships in the Pacific Ocean, are invited to join an expedition to search for the creature. During the search, they and harpooner Ned Land (Kirk Douglas) are thrown overboard during an attack, eventually discovering that the supposed monster is actually a submarine piloted by the brilliant but haunted Captain Nemo (James Mason).","One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid.",G,"Action & Adventure, Drama, Kids & Family",Richard Fleischer,Earl Felton,"James Mason, Kirk Douglas, Paul Lukas, Peter Lorre, Robert J. Wilke, Carleton Young, Bob Wilke, Ted de Corsia, Percy Helton, Ted Cooper, Eddie Marr, Fred Graham, Esmeralda, J.M. Kerrigan, Harry Harvey, Herb Vigran",1/1/1954,6/10/2016,127,Disney,Fresh,89,27,Upright,74,68918,5,24,3
m/10008502-christmas_carol,Disney's A Christmas Carol,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.","Robert Zemeckis' 3-D animated take on the Dickens classic tries hard, but its dazzling special effects distract from an array of fine performances from Jim Carrey and Gary Oldman.",PG,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Robert Zemeckis,Robert Zemeckis,"Colin Firth, Leslie Zemeckis, Cary Elwes, Robin Wright, Jacquie Barnbrook, Lesley Manville, Molly Quinn, Fay Masterson, Daryl Sabara, Ryan Ochoa, Sammi Hanratty, Fionnula Flanagan, Callum Blue, Raymond Ochoa, Steve Valentine, Julian Holloway, Matthew Henerson, Kerry Hoyt, Julene Renee, Sonje Fortag, Paul Blackthorne, Michael Hyland, Ryan Sage, Amber Gainey Meade, Bobbi Page, Ron Bottitta, Aaron Rapke, Alan Silvestri, Jim Carrey, Gary Oldman, Bob Hoskins",11/6/2009,11/23/2015,95,Walt Disney Studios,Rotten,52,201,Spilled,58,776189,47,105,96
m/10008587-beverly_hills_chihuahua,Beverly Hills Chihuahua,"Chloe (Drew Barrymore), a pampered Chihuahua from Beverly Hills, gets an unwelcome taste of the real world when she gets lost in a tough part of Mexico. With no Rodeo Drive boutiques in sight, she is out of her element, until scrappy street dogs Delgado and Papi lend her a paw, helping her find her way home.","Despite hitting some sweet notes, Beverly Hills Chihuahua is little more than disposable family entertainment.",PG,Comedy,Raja Gosnell,"Analisa LaBianco, Jeffrey Bushell","Drew Barrymore, Andy Garcia, Jamie Lee Curtis, George Lopez, Cheech Marin, Manolo Cardona, Piper Perabo, Plácido Domingo, Paul Rodriguez, Luis Guzman, Loretta Devine, Edward James Olmos, Michael Urie, Eddie 'Piolín' Sotelo, Maury Sterling, Jose María Yazpik, Jesús Ochoa, Eugenio Derbez",9/30/2008,12/13/2015,91,Walt Disney Pictures,Rotten,40,99,Spilled,52,186570,29,40,59
m/10009462-g_force,G-Force,"Armed with the latest high-tech spy gear, a guinea pig named Darwin (Sam Rockwell) and his team of specially trained rodents are often the last line of defense against chaos and destruction. But when the government shuts them down and ships them off to a pet shop, Darwin and his gang will have to find a way to break out and prevent a mad billionaire (Bill Nighy) from taking over the world.","G-Force features manic action, but fails to come up with interesting characters or an inspired plot.",PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","Hoyt Yeatman, Hoyt Yeatman IV","Tim Firth, Terry Rossio, Ted Elliott, Cormac Wibberley, Marianne Wibberley","Nicolas Cage, Sam Rockwell, Steve Buscemi, Tracy Morgan, Dee Bradley Baker, Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner, Tyler Patrick Jones, Piper Mackenzie Harris, Gabriel Casseus, Jack Conley, Niecy Nash, Penelope Cruz, Justin Mentell, Loudon Wainwright III, Chris Ellis Jr., Hoyt Yeatman IV, Max Favreau, Travis Davis, James Huang, Corey Michael Eubanks, Steve Kelso, Eddie Yansick, Troy Robinson, Mini Anden, Cameron Engels, Michael Papajohn, Algerita Wynn Lewis, Bob Sherer, Jennifer England, Jason Hellmann, Nicholas L. Teta",7/24/2009,6/30/2016,88,Walt Disney Pictures,Rotten,22,127,Spilled,39,964669,37,28,99
m/10009596-old_dogs,Old Dogs,"While preparing for an important business deal, two bachelors (John Travolta, Robin Williams) become the unexpected caretakers of twin children. One debacle after another follows, as the two clueless men try to take care of both their business duties and the rambunctious siblings. Though their lives are turned upside-down, the men may just gain an understanding of what is really important in life.","Its cast tries hard, but Old Dogs is a predictable, nearly witless attempt at physical comedy and moral uplift that misses the mark on both counts.",PG,"Comedy, Drama, Kids & Family","Walt Becker, Walter Becker","David Diamond, David Weissman","John Travolta, Robin Williams, Seth Green, Kelly Preston, Conner Rayburn, Lori Loughlin, Ella Bleu Travolta, Lori Laughlin, Bernie Mac, Matt Dillon, Ann-Margret, Rita Wilson, Amy Sedaris, Residente, Sab Shimono, Kevin Yamada, Kevin Dean-Hackett, Laura Allen, Sam Travolta, Margaret Travolta, Nick Loren, Kenneth Maharaj, Nova Mejia, Margaret Goodman, Jerome Weinstein, Allie Woods Jr., Michael Enright, Alexa Havins, Keenan Shimizu, Akira Takayama, Shiro Oishi, Yoshio Mita, Seiji Kakizaki, Keisuke Jim Nagahama, Dominick Riccardi, Costas Panay, Kate Lacey, Denise Violante, Tonia-Marie Gallo, Jin Hwa Hwang, Marcel Becker, Alison Pelletier, Dylan Sprayberry, Bradley Steven Perry, Joey Pordan",11/25/2009,7/1/2016,88,Walt Disney Pictures,Rotten,5,110,Spilled,44,182900,35,6,104
m/10010458-proposal,The Proposal,"Faced with deportation to her native Canada, high-powered book editor Margaret Tate (Sandra Bullock) says she's engaged to marry Andrew Paxton (Ryan Reynolds), her hapless assistant. Andrew agrees to the charade, but imposes a few conditions of his own, including flying to Alaska to meet his eccentric family. With a suspicious immigration official always lurking nearby, Margaret and Andrew must stick to their wedding plan despite numerous mishaps.","Sandra Bullock and Ryan Reynolds exhibit plenty of chemistry, but they're let down by The Proposal's devotion to formula.",PG-13,"Comedy, Romance",Anne Fletcher,"Anne Fletcher, Peter Chiarelli","Sandra Bullock, Ryan Reynolds, Malin Akerman, Craig T. Nelson, Mary Steenburgen, Denis O'Hare, Betty White, Oscar Nunez, Aasif Mandvi, Niecy Nash, Michael Nouri, Michael Mosley, Maureen Keiller, Dale Place, Mini Anden, Alicia Hunt, Jerrell Lee Wesley, Kortney Adams, Chris Whitney, Gregg Edelman, Phyllis Kay, Anne Fletcher, Alexis Garcia, Kate Lacey, Gene Fleming, Mary-Linda Rapelye",6/19/2009,11/22/2015,108,Walt Disney Pictures,Rotten,45,188,Upright,67,860325,47,84,104
m/10011582-TRON_legacy,Tron Legacy,"Sam (Garrett Hedlund), the son of famous video-game developer Kevin Flynn (Jeff Bridges), has been haunted for a long time by his father's mysterious disappearance. A strange signal draws Sam to Flynn's Arcade, and he is pulled into the same cyberworld in which his father, its creator, has been trapped for 20 years. With fearless warrior Quorra (Olivia Wilde), Kevin and Sam seek to escape from a universe that, while magnificent, is far more advanced and dangerous than Kevin had ever imagined.","Tron Legacy boasts dazzling visuals, but its human characters and story get lost amidst its state-of-the-art production design.",PG,"Action & Adventure, Science Fiction & Fantasy",Joseph Kosinski,"Edward Kitsis, Adam Horowitz, Steven Lisberger, Bonnie MacBird, Joseph Kosinski","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain, Michael Sheen, Beau Garrett, Anis Cheurfa, Serinda Swan, Yaya DaCosta, Elizabeth Mathis, Yurij Kis, Conrad Coates, Daft Punk, Ronald Selmour, Thomas Bradshaw, Allen Jo, Darren Dolynski, Dan Joffre, Steven Lisberger, Donnelly Rhodes, Owen Best, Belinda Montgomery, Matt Ward, Zoe Fryklund, Dean Redman, Mi Jung Lee, Christopher Logan, Sheldon Yamkovy, Dale Wolfe, Joanne Wilson, Catherine Lough Haggquist, Shaw Madson, Shafin Karim, Rob Daly, Mike Ching, Michael Teigen, Brent Stait, Amy Esterle, Cody Laudan, Jeffrey Nordling, Christine Adams, Kate Gajdosik, Jack McGee, Dawn Mander, Edie Mirman, Aaron Toney, Kofi Yiadom, Kim Do Nguyen, Patrick Sabongui, Will Erichson",12/17/2010,11/23/2015,125,Walt Disney Pictures,Rotten,51,243,Upright,63,171610,54,123,120
m/10011984-last_song,The Last Song,"Estranged from her father (Greg Kinnear) for a number of years, teenage Ronnie (Miley Cyrus) isn't pleased when her mother ships her and her younger brother down to a Southern beach town to spend the summer with him. While her father uses a shared love of music to try to reconnect with her, Ronnie finds romance with a handsome local (Liam Hemsworth).","As shamelessly manipulative as any Nicholas Sparks production, The Last Song is done no favors by its miscast and overmatched star, Miley Cyrus.",PG,"Drama, Kids & Family, Romance",Julie Ann Robinson,"Nicholas Sparks, Jeff Van Wie","Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth, Hallock Beals, Kelly Preston, Nick Lashaway, Carly Chaikin, Kate Vernon, Nick Searcy, Adam Barnett, Michael Jamorski, Melissa Ordway, Carrie Malabre, Lance E. Nichols, Stephanie Leigh, Phil Parham, Bonnie Johnson, Rhoda Griffis, Anthony Paderewski, April Moore, Todd Smith",3/31/2010,8/10/2016,108,Walt Disney Studios,Rotten,21,120,Upright,66,160802,35,25,95
m/1002497-black_hole,The Black Hole,"In the future, a spaceship dubbed the USS Palomino is on its way back to Earth when it discovers another ship that had been assumed missing, the USS Cygnus. Kate McCrae (Yvette Mimieux), a scientist aboard the Palomino, learns that it's the same ship upon which her father had served as a crew member. When the Palomino's crew boards the Cygnus, they are met by Dr. Reindhardt (Maximilian Schell) and a bizarre, faceless army who plan to be the first people ever to explore a black hole.","While lavishly crafted and brimming with ambitious ideas, The Black Hole probes the depths of space with an unexciting story and hokey melodrama.",PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gary Nelson,"Jeb Rosebrook, Bob Barbash, Richard H. Landau, Gerry Day","Maximilian Schell, Anthony Perkins, Robert Forster, Joseph Bottoms, Ernest Borgnine, Yvette Mimieux, Tom McLoughlin, Roddy McDowall, Slim Pickens",1/1/1979,5/10/2016,97,Walt Disney Productions,Rotten,38,32,Spilled,45,9807,4,12,20
m/1007839-freaky_friday,Freaky Friday,"Annabel Andrews (Jodie Foster) and her mother, Ellen (Barbara Harris), don't always see eye to eye. After a particularly frustrating argument on Friday the 13th, the two simultaneously wish they could switch places -- and suddenly their wish is granted. Each discovers how difficult it is to be in the other's shoes, with Ellen causing chaos at Annabel's school, and Annabel unable to deal with her mother's domestic duties. The two learn a lot about themselves and their relationship in the process.","Freaky Friday is too well-behaved to live up to its comedic potential, but sprightly turns by Barbara Harris and Jodie Foster give the body-swapping farce some charm.",G,"Comedy, Kids & Family, Science Fiction & Fantasy",Gary Nelson,Mary Rodgers,"Barbara Harris, Jodie Foster, John Astin, Patsy Kelly, Vicki Schreck, Dick Van Patten, Sorrell Booke, Alan Oppenheimer, Kaye Ballard, Ruth Buzzi, Marc McClure, Marie Windsor, Sparky Marcus, Ceil Cabot, Brooke Mills, Karen Smith, Marvin Kaplan, Al Molinaro, Iris Adrian, Barbara Walden, Shelly Juttner, Charlene Tilton, Lori Rutherford, Jack Sheldon, Jack Shelton, Laurie Main, Don Carter, Fuddle Bagley, Fritz Feld, Dermott Downs, James Van Patten",12/17/1976,12/13/2015,95,Disney,Fresh,70,23,Spilled,57,65759,4,16,7
