rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/18_presents,18 Presents (18 Regali),"In an attempt to be part of her life, a pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every year on her birthday.",,NR,"Art House & International, Drama",Francesco Amato,"Francesco Amato, Massimo Gaudioso, Davide Lantieri, Alessio Vicenzotto","Vittoria Puccini, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betti Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli, Marta Nuti, Beatrice Schiros, Anna Terio, Francesco Wolf, Lucia Zotti, Elisabetta Pedrazzi, Alessandra Carrillo, Raffaele Esposito, Valentina Illuminati",,5/19/2020,115,Netflix,Fresh,60,5,Upright,62,16,1,3,2
m/1922_2017,1922,A rancher conspires to murder his wife for financial gain and convinces his teenage son to participate.,"Thanks to director Zak Hilditch's patient storytelling and strong work from lead Thomas Jane, 1922 ranks among the more satisfying Stephen King adaptations.",NR,"Drama, Mystery & Suspense",Zak Hilditch,Zak Hilditch,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Brian d'Arcy James, Neal McDonough, Bob Frazer",10/20/2017,10/20/2017,102,Netflix,Certified-Fresh,91,43,Spilled,57,1880,8,39,4
m/22_july,22-Jul,"Norway's deadliest terrorist attack, in which a right-wing extremist murders 77 teens at a youth camp in 2011, is dramatized.","22 July offers a hard-hitting close-up look at the aftereffects of terrorism, telling a story with a thriller's visceral impact and the lingering emotional resonance of a drama.",R,Drama,Paul Greengrass,Paul Greengrass,"Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Isak Bakli Aglen, Maria Bock, Thorbjørn Harr, Seda Witt",10/10/2018,10/10/2018,143,Netflix,Certified-Fresh,80,126,Upright,70,823,28,101,25
m/37_seconds,37 Seconds,A comic book artist who has cerebral palsy embarks on a journey of sexual and personal self-discovery.,"37 Seconds is a rare and refreshing film that depicts disability with honesty, warmth, and empathy.",NR,Drama,Hikari,,"Makiko Watanabe, Shunsuke Daito, Misuzu Kanno, Yuka Itaya, Mei Kayama",,1/31/2020,115,Netflix,Fresh,88,16,Upright,86,21,5,14,2
m/6_balloons,6 Balloons,"Over the course of one night, a woman drives across Los Angeles with her brother, who is addicted to heroin, in search of a detox center.","Delicately sketched but thematically rich, 6 Balloons rises on Abbi Jacobson's gripping performance -- and marks writer-director Marja-Lewis Ryan as a talent to watch.",NR,Drama,Marja-Lewis Ryan,Marja-Lewis Ryan,"Dave Franco, Abbi Jacobson",,4/6/2018,75,Netflix,Fresh,86,29,Spilled,56,325,7,25,4
m/6_underground,6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","6 Underground is loud, frenetic, and finally preposterous -- which is either bad news or a hearty recommendation, depending how one feels about the movies of Michael Bay.",R,"Action & Adventure, Drama",Michael Bay,"Rhett Reese, Paul Wernick","Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Adria Arjona, Manuel Garcia-Rulfo, Ben Hardy, Lior Raz, Payman Maadi, Dave Franco",12/13/2019,12/13/2019,127,Netflix,Rotten,36,92,Upright,60,4122,16,33,59
m/a_christmas_prince,A Christmas Prince,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.,"Predictable but sweet, A Christmas Prince is pleasant enough to pass the time during the holiday season.",NR,"Comedy, Drama, Romance",Alex Zamm,"Karen Schaler, Nathan Atkins","Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Theo Devaney, Emma Louise Saunders, Sarah Douglas, Tom Knight, Daniel Fathers, Tahirah Sharif, Joel McVeigh, Richard Ashton, Amy Marston, Paul Courtenay Hyu, Vaughn Johseph, Doru Catanescu, Axel Moustache, Lace Akpojaro, Irina Saulescu",11/17/2017,11/17/2017,92,Netflix,Fresh,73,11,Spilled,47,317,1,8,3
m/a_christmas_prince_the_royal_baby,A Christmas Prince: The Royal Baby,"Amber and Richard host royals from a faraway kingdom to renew a sacred truce, but when the priceless treaty disappears, peace is put in jeopardy and an ancient curse threatens their family.",,NR,"Drama, Kids & Family, Romance",John Schultz,Nate Atkins,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Sarah Douglas, Andy Lucas, Tahirah Sharif, Theo Devaney, Kevin Shen, Momo Yeung, Crystal Yu",,12/5/2019,85,Netflix,Rotten,33,9,Spilled,31,80,1,3,6
m/a_christmas_prince_the_royal_wedding,A Christmas Prince: The Royal Wedding,"A year after Amber helped Richard secure the crown, the two are set to tie the knot in a royal Christmas wedding - but their plans are jeopardized when Amber finds herself second-guessing whether or not she's cut out to be queen.",,NR,Romance,John Schultz,"Robin Bernheim Burger, Nathan Atkins","Rose McIver, Ben Lamb, Alice Krige, Tahirah Sharif, Honor Kneafsey, Sarah Douglas",11/30/2018,11/30/2018,90,Netflix,Rotten,50,16,Spilled,32,135,1,8,8
m/a_fortunate_man,A Fortunate Man (Lykke-Per),A young man breaks free from his devoutly religious family in Western Denmark to pursue an engineering degree.,,NR,Drama,Bille August,"Anders Frithiof August, Bille August, Henrik Pontoppidan","Petrine Agger, Jens Albinus, Rasmus Bjerg, Morten Bjørn, Esben Smed, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Ole Lemmeke, Sara Viktoria Bjerregaard Christensen, Sophie-Marie Jeppesen, Claus Flygare, Mei Oulund, Katrine Greis-Rosenthal",,4/19/2019,162,Netflix,Fresh,83,6,Upright,75,65,1,5,1
