rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/0878835,Please Give,"Kate (Catherine Keener) and her husband Alex (Oliver Platt) are wealthy New Yorkers who prowl estate sales and make a tidy profit reselling items they bought cheaply. They buy the apartment next door and plan to remodel just as soon as its current occupant, a cranky old woman, dies. Kate is troubled by the way she and her husband earn a living, and tries to assuage her guilt by befriending her tenant and the woman's granddaughters, but her overtures lead to unexpected consequences.","Nicole Holofcener's newest might seem slight in places, but its rendering of complex characters in a conflicted economic landscape is varied, natural, and touching all the same.",R,Comedy,Nicole Holofcener,Nicole Holofcener,"Catherine Keener, Amanda Peet, Oliver Platt, Rebecca Hall, Sarah Steele, Ann Morgan Guilbert, Kevin Corrigan, Lois Smith",4/30/2010,9/4/2012,90,Sony Pictures Classics,Certified-Fresh,87,142,Upright,64,11574,44,123,19
m/10004504-ultraviolet,Ultraviolet,"In the late 21st-century, a vampiric disease modifies some people, imbuing each of them with superhuman strength, intelligence and speed. Worldwide civil war looms as normal people, feeling threatened by their enhanced brethren, demand the extermination of the group. One such transformed female (Milla Jovovich) finds herself caught in the crossfire when she becomes the protector of a boy who is perceived to be a threat to humanity.","An incomprehensible and forgettable sci-fi thriller, Ultraviolet is inept in every regard.",PG-13,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,Kurt Wimmer,"Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner, Sebastien Andrieu, Ida Martin, David Collier, Kieran O'Rorke, Digger Mesch, Ryan Martin, Steven Calcote, Ricardo Mamood, Mike Smith, Clay Cullen, Jennifer Caputo, Jack Murphy, Diego Swing, Ted Thomas, Abraham Boyd, Matthew Sturgess, Alexander Key, Peter Spurrier, Russell Wait, Youlia Galenko, Luke Jackson, Christopher Garner, Duc Luu, Kurt Wimmer, Gilad Lotan, Phillip Moore, Robert Alonzo, Mitchell Gould, Daniel Hawe, Scott Piper",3/3/2006,4/16/2012,88,Sony Pictures,Rotten,8,83,Spilled,30,279994,21,7,76
m/10005499-oliver_twist,Oliver Twist,An orphan (Barney Clark) in 19th-century London falls in with a gang of young pickpockets who steal for their villainous master (Ben Kingsley).,"Polanski's version of Dickens' classic won't have audiences asking for more because while polished and directed with skill, the movie's a very impersonal experience.",PG-13,"Drama, Kids & Family",Roman Polanski,Ronald Harwood,"Ben Kingsley, Barney Clark, Leanne Rowe, Mark Strong (II), Jamie Foreman, Harry Eden, Edward Hardwicke, Ian McNeice, Jeremy Swift, Frances Cuka, Michael Heath, Gillian Hanna, Alun Armstrong, Andy de la Tour, Andrew de la Tour, Peter Copley, Andreas Papadopoulos, Laurie Athey, Filip Hess, Lewis Chase, Jack Curran, Chris Overton, Richard Durden, Timothy Bateson, Joseph Tremain, Andy Linden, John Nettleton, Tony Noble, Teresa Churcher, Gerard Horan, Morgane Polanski, Liz Smith, Levi Hayes, Ophelia Lovibond, Elvis Polanski, Patrick Godfrey, Anezka Novak, Andy Camm, Frank Mills, Turbo, David Meeking, Paul Brooke, Kaeren Revell, Andrea Miltner, Kay Raven, Lizzy Le Quesne, Robert Orr, Paul Eden, Nick Stringer, James Babson, Richard Ridings",9/30/2005,4/16/2012,130,Sony Pictures,Fresh,61,143,Upright,63,23294,39,87,56
m/10006007-the_second_chance,The Second Chance,"Two pastors, one from a wealthy parish in a predominantly white suburb, the other, the head of an inner-city church, must learn to bridge the gap between their different philosophies and their individual prejudices. Together they look for common ground through faith and fight to save one's struggling urban church and the people it serves.",,PG-13,"Drama, Faith & Spirituality",Steve Taylor,"Steve Taylor, Chip Arnold, Ben Pearson, Henry O. Arnold","Michael W. Smith, Jeff Obafemi Carr, Jonathan Thomas, J. Don Ferguson, Lisa Arrindell, David Alford, Henry Haggard, Jonathan Taylor Thomas, Kenda Benward, Calvin Hobson, Bobby Daniels, Shirley Cody, Peggy Walton-Walker, Villa Steele, Vilia Steele, Kobie Jarmon, Erin Hemphill, Yuri Cunza, Vincent Ndikumana, Rico Moody, Robert Fitzgerald, JD Parker, Helen Shute-Pettaway, Todd Matt Chiorini, Henry O. Arnold, Big Fella, Dale Thompson",2/17/2006,7/18/2006,104,Sony Pictures,Rotten,44,16,Upright,78,79542,8,7,9
m/1000654-all_the_kings_men,All the King's Men,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren.",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,"Classics, Drama",Robert Rossen,"Robert Rossen, Robert Penn Warren","Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru, John Ireland, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes, H.C. Miller, Richard Hale, William Bruce, A.C. Tillman, Houseley Stevenson Sr., Truett Myers, Phil Tully, Helene Stanley, Judd Holdren, King Donovan, Paul Ford, Ted French, Louis Mason, Paul Maxey, John 'Skins' Miller, Pat O'Malley, Frank Wilcox",11/8/1949,5/1/2013,109,Sony Pictures Home Entertainment,Certified-Fresh,95,42,Upright,78,4866,9,40,2
m/10007916_interview,Interview,"Pierre Peders (Steve Buscemi), a political reporter, receives an unwelcome assignment from his editor: Write a puff piece on Katya (Sienna Miller), a sexy starlet whose love life provides plentiful tabloid fodder. The pair manage to alienate each other within minutes, then Pierre is injured in an accident, and Katya brings him back to her apartment. An unusual encounter unfolds for the jaded journalist and the woman who may not be as stupid as she seems.",Captivating performances from Steve Buscemi and Sienna Miller make a seemingly simple premise gripping and entertaining.,R,"Art House & International, Drama",Steve Buscemi,"Steve Buscemi, David Schechter","Sienna Miller, Steve Buscemi, Michael Buscemi, Tara Elders, David Schecter, Molly Griffith",7/13/2007,4/16/2012,84,Sony Classics,Rotten,58,125,Spilled,55,25860,44,72,53
m/10008005-moliere,Molière,"In 17th-century France, playwright and actor Molière (Romain Duris) has his debts paid off by Monsieur Jourdain (Fabrice Luchini), freeing him from debtors prison. In return, Jourdain asks for acting lessons so he can win the heart of the beautiful widow Célimène (Ludivine Sagnier) by performing a short play for her. Presented to Jourdain's family as the priest Tartuffe, Molière begins to fall in love with Monsieur Jourdain's disregarded wife, Elmire (Laura Morante).","Moliere is a sophisticated, witty biopic of the great satirist.",PG-13,Comedy,"Laurent Tirard, Laurent Sivot","Laurent Tirard, Grégoire Vigneron, Fanny Valette, Jean-Claude Jay","Romain Duris, Édouard Baer, Fabrice Luchini, Laura Morante, Ludivine Sagnier, Fanny Valette, Gilian Petrovski, Sophie-Charlotte Husson, Melanie Dos Santos, Gonzague Montuel, Arié Elmaleh, Eric Berger, Gilian Petrovsky, Anne Suarez, Annelise Hesme, Luc Tremblais, Nicolas Vaude, Philippe Du Janerand, Isabelle Caubère, Pierre Laplace, Wilfred Benaiche, François Civil, Jean-Michel Lahmi, Marie Gili-Pierre, Francis Van Litsenborgh, Yves Robin, François Toumarkine, Isabelle Vitari, Antoine Blanquefort, Caroline Gillain, Daphné de Quatrebarbes, Jean-Claude Jay",7/27/2007,3/9/2014,120,Sony Pictures Classics,Fresh,69,89,Upright,79,10937,32,61,28
m/10008126-straightheads,Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge.",,R,"Drama, Mystery & Suspense",Dan Reed,,"Gillian Anderson, Danny Dyer, Anthony Calf, Ralph Brown, Steven Robertson, Francesca Fowler, Adam Rayner, Anthony Byrne, Gugu Mbatha-Raw, Neil Finnighan",4/27/2007,5/1/2012,88,Sony Pictures Entertainment,Rotten,40,20,Spilled,32,4645,7,8,12
m/10008748-saawariya,Saawariya,"Sparks fly when wandering singer Ranbir Raj (Ranbir Kapoor) arrives in a mystical town and meets charming prostitute Gulabji (Rani Mukherjee). Gulabji directs Raj to a local boarding house, and he begins to explore his new home. But soon the restless Raj meets the stunning Sakina (Sonam Kapoor), a young Muslim who spurns his advances. As Gulabji pines for the handsome musician, Raj falls hard for the elusive Sakima -- who secretly harbors her own unspoken desires.","It's pleasing to the eye, but Saawariya struggles to fill its runtime with a story whose clichés unfortunately outnumber its points of interest.",PG,"Art House & International, Drama, Musical & Performing Arts, Romance",Sanjay Leela Bhansali,"Prakash Kapadia, Sanjay Leela Bhansali","Ranbir Kapoor, Sonam Kapoor, Salman Khan, Rani Mukerji, Zohra Sehgal, Zohra Segal, Begum Para",11/9/2007,5/1/2012,146,Sony Pictures,Rotten,38,21,Spilled,46,5828,10,8,13
m/10008849-married_life,Married Life,"After many years of marriage, Harry Allen (Chris Cooper) falls in love with lovely Kay Nesbitt (Rachel McAdams). Harry plots to kill his wife, Pat (Patricia Clarkson), because he feels divorce would be too hard on her. Meanwhile, his roguish best friend, Richard (Pierce Brosnan), is also in love with Kay and would like nothing better than to steal her out from under Harry's nose.","Married Life has excellent performances and flashes of dark wit, but it suffers from tonal shifts and uneven pacing.",PG-13,"Comedy, Drama, Mystery & Suspense, Romance",Ira Sachs,"Ira Sachs, John Bingham, Oren Moverman","Pierce Brosnan, Chris Cooper, Patricia Clarkson, Rachel McAdams, David Wenham, David Richmond-Peck, Erin Boyes, Terence Kelly, Sheila Paterson, Pauline Crawford, Elijah St. Germain, Rebecca Codling, Timothy Webber, Dolores Drake, Malcom Boddington, Sean Tyson, Ty Olsson, Anna Williams, Kathleen Duborg, Suzanne Ristic, Mike Cook, Dale Floyd, Alex Stevens",3/7/2008,2/12/2014,90,Sony Classics,Rotten,54,118,Spilled,36,5083,38,64,54
