rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/10000_bc,"10,000 B.C.","Mammoth hunter D'Leh (Steven Strait) has long been in love with a beautiful, blue-eyed tribeswoman named Evolet (Camilla Belle). After horseback-riding raiders kidnap most of his D'Leh's fellow tribesmen as well as Evolet, he sets out on a dangerous trek to rescue her from her captors.","With attention strictly paid to style instead of substance, or historical accuracy, 10,000 B.C. is a visually impressive but narratively flimsy epic.",PG-13,"Action & Adventure, Classics, Drama",Roland Emmerich,"Harald Kloser, Roland Emmerich","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zainal, Nathanael Baring, Marco Khan, Reece Ritchie, Joel Fry, Junior Oliphant, Louise Tu'u, David Dennis, Kristian Beazley, Mona Hammond, Jacob Renton, Grayson Hunt Urwin, Fahruq Valley-Omar, Boubacar Badaine, Joe Vaz, Charles Baloyi, Tim Barlow, Gabriel Malema, Mark Simmons, Hannah Westbury, Affif Ben Badra, Mo Zinal, Omar Sharif, Farouk Valley-Omar",3/7/2008,6/22/2013,109,Warner Bros. Pictures,Rotten,8,149,Spilled,37,411140,37,12,137
m/10002519-breaking_point,The Breaking Point,A charter-boat captain winds up in the middle of a syndicate shootout after transporting illegal immigrants.,,NR,Drama,Michael Curtiz,Ranald MacDougall,"John Garfield, Patricia Neal, Phyllis Thaxter, Juano Hernandez, Wallace Ford, Edmon Ryan, Ralph Dumke, Guy Thomajan, William Campbell, Sherry Jackson, Donna Jo Boyce, Victor Sen Yung, Peter Brocco, John Doucette, James Griffith, Norman Field, Juan Duval, Spencer Chan, Helen Hatch, Bob McLean, Beverly Mook, John Close, Alex Gerry, Mary Carroll, Glen Turnbull, John Chapin Morgan, John Alvin, David McMahon, Paul McGuire, Len Hendry",10/6/1950,8/25/2016,97,Warner Home Video,Fresh,100,10,Upright,86,335,1,10,0
m/10003276-criminal,Criminal,"Needing a new partner capable of intricate cons, Richard Gaddis (John C. Reilly), recruits Rodrigo (Diego Luna), a crook with a perfect poker face. The two plan a big-time scam: selling a fake Silver Certificate to currency collector William Hannigan (Peter Mullan). Rodrigo distrusts his new associate, but needs money to help out his ill father. The situation becomes more complicated when Rodrigo falls for Gaddis' sister, Valerie (Maggie Gyllenhaal), drawing another player into the game.","If you saw Nine Queens, it may feel redundant, but the snappy performances make it fun to watch.",R,"Drama, Mystery & Suspense","Greggory Jacobs, Gregory Jacobs, Greg Jacobs","Gregory Jacobs, Fabián Bielinsky, Steven Soderbergh, Sam Lowry, Greggory Jacobs, Greg Jacobs","John C. Reilly, Diego Luna, Maggie Gyllenhaal, Jonathan Tucker, Peter Mullan, Zitto Kazann, Maeve Quinlan, Laura Cerón, Soledad St. Hilaire, Brandon Keener, Gary Mack, Ellen Geer, Brent Sexton, Enrico Colantoni, Nick Anavio, Deborah Van Valkenburgh, Malik Yoba, Lillian Hurst, Jack Conley, Juan Carlos Cantu, Manuel G. Jimenez, Luis Contreras, Patricia Belcher, Paul Norwood",9/24/2004,4/27/2016,87,Warner Bros. Pictures,Fresh,69,124,Spilled,57,6711,35,85,39
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown.","Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.",PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller, Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Wilfred Lucas, Lionel Belmore, Janet Shaw, Reginald Sheffield, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",5/14/1938,1/23/2014,102,Warner Bros.,Certified-Fresh,100,48,Upright,89,33946,8,48,0
m/10004890-narrow_margin,The Narrow Margin,"Tense story of a tough cop attempting to transport the widow of a gangster to the trial in which she'll testify. They undertake a rail journey from Chicago to Los Angeles with their lives constantly under threat from hit men on the train, who will stop at nothing to prevent her from testifying.",,NR,"Classics, Drama, Mystery & Suspense",Richard Fleischer,"Earl Felton, Martin Goldsmith","Charlie MacGraw, Charles McGraw, Marie Windsor, Jacqueline White, Gordon Gebert, Queenie Leonard, David Clarke, Peter Virgo, Don Beddoe, Paul Maxey, Harry Harvey, Michael Lally, Donald Dillaway, George Sawaya, Tony Merrill, Howard Mitchell, Milton Kibbee, Don Haggerty, Johnny Lee, Ivan Browning, Clarence Hargrave, Edgar Murray, Napoleon Whiting, Bobbie Johnson, Will Lee, Franklin Parker, Jasper Weldon",5/4/1952,8/20/2012,71,Warner Home Video,Fresh,100,11,Upright,88,1135,0,11,0
m/10008655-whiteout,Whiteout,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko (Kate Beckinsale) will soon leave the harsh environment behind for good; in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.","Kate Beckinsale is as lovely as ever, and does her best with the material, but moribund pacing and an uninspired plot leave Whiteout in the cold.",R,"Action & Adventure, Drama, Mystery & Suspense",Dominic Sena,"Chad Hayes, Carey Hayes, Dominic Sena, Jon Hoeber, Erich Hoeber","Kate Beckinsale, Gabriel Macht, Tom Skerritt, Columbus Short, Alexander Bisping, Alex O'Loughlin, Shawn Doyle, Joel S. Keller, Jesse Todd, Arthur Holden, Erin Hicock, Bashar Rahal, Julian Cain, Dennis Keiffer, Nick Vallarin, Andrei Runtso, Roman Varshavsky, Steve Lucescu, Paula Jean Hixson, Craig Pinckes, Sean Tucker, Marc James Beauchamp, Nick Villarin, Louis Dionne, Patrick Sabongui, Erin Hickock",9/11/2009,6/17/2011,101,Warner Bros. Pictures,Rotten,7,116,Spilled,21,538861,28,8,108
m/10008700-darfur_now,Darfur Now,"Individuals from all walks of life -- movie stars, activists, politicians and others -- campaign to raise public awareness about the situation in Sudan's Darfur region and the urgent need for collective action. Through steps both small and large, these individuals do what they can to halt the genocide and generate sufficient humanitarian aid for the millions who face severe oppression. This crisis, they argue, does not belong just to the inhabitants of Sudan, but to all citizens of the earth.","Although Darfur Now is not always engaging as cinema, the film succeeds in bringing attention to the crisis in Darfur.",PG,"Documentary, Drama, Musical & Performing Arts, Special Interest",Ted Braun,Ted Braun,"Hawa Abaker, Kalatumh Adam, Nimeri Issa, Asha Abdal Khaleeq, Don Cheadle, Hawa Saleman, George Clooney, Musa Sharif, Luis Moreno-Ocampo, Jason Miller, Pablo Recalde, Adam Sterling, Dana Sterling, Arnold Schwarzenegger, Wayne Sterling, Hejewa Adam, Ahmed Mohammed Abakar, James R. Sweeney, Paul Koretz, Xavier Aguirre, Essa Faal, Jennifer Trone, Vanessa Haas, Béatrice LeFraperDuHellen, Adebowale Omofade, Sam Brownback, Ayana Cheadle, Imani Cheadle, Hillary Clinton, John Prendergast, John McCain, Abdalmahmood Abdalhaleem Mohammad",11/9/2007,5/27/2008,99,Warner Independent Pictures,Fresh,73,59,Upright,73,2308,29,43,16
m/10008703-rails_and_ties,Rails & Ties,"Engineer Tom Stark (Kevin Bacon) kills a suicidal woman when his train slams into her car. Suspended from his job, he must confront his wife Megan's (Marcia Gay Harden) illness finally, but Megan announces she is going to leave him. Unexpectedly, the son (Miles Heizer) of the dead woman, arrives on the couple's doorstep and moves in with them.","Despite the strong cast, Rails & Ties is an emotionally overwrought, not entirely believable melodrama.",PG-13,Drama,Alison Eastwood,Micky Levy,"Kevin Bacon, Marcia Gay Harden, Miles Heizer, Marin Hinkle, Eugene Byrd, Bonnie Root, Steve Eastin, Laura Cerón, Margo Martindale, Kathryn Joosten, Steven M. Porter, Jim Cody Williams, Kerri Randles, J. Stephen Peace, Robert Harvey, Michael Otis, Ernest Harden Jr., Mike McCaul, Maya Goldsmith, Michael Raynor, Micky Levy, John Nielsen, Dennis Napolitano, Mary Beth McDade, Brian Bogulski, Jade Marx, Nathan Kornelis, Dalton Stumbo",10/26/2007,12/31/2009,101,Warner Independent,Rotten,34,47,Spilled,58,10100,22,16,31
m/10008785-appaloosa,Appaloosa,"Virgil Cole (Ed Harris) and his longtime friend and partner Everett Hitch (Viggo Mortensen) travel the 1880s Southwest, bringing justice to lawless towns desperate enough to hire them. In the mining town of Appaloosa, malevolent rancher Randall Bragg and his cronies ride roughshod over the frightened citizens. As Cole and Hitch work to end Bragg's reign of terror, an unconventional widow (Renee Zellweger) arrives, complicating the job and threatening their bond.","A traditional genre western, Appaloosa sets itself apart with smart psychology, an intriguing love triangle, and good chemistry between the leads.",R,"Action & Adventure, Western",Ed Harris,Robert Knott,"Ed Harris, Viggo Mortensen, Renée Zellweger, Jeremy Irons, Luce Rains, James Tarwater, Boyd Kestner, Gabriel Marantz, Cerris Morgan-Moyer, James Gammon, Timothy Spall, Lance Henriksen, Tom Bower, Bobby Jauregui, Ariadna Gil, Jim Tarwater, Timothy V. Murphy, Bob L. Harris, Benjamin Rosenshein, Erik J. Bockemeier, Fred Hice, Neil Summers, Tim Carroll, Bounthanh Xaynhachack, Art Usher, Cliff Gravel, Mike Watson, Rex Linn, Corby Griesenbeck, Adam Nelson, Daniel T. Parker, Ed Pennybacker, Alvin William ""Dutch"" Lunak, Martin Connelly, Danny Edmo, Argos Maccallum, Cynthia Huerta, Charlene Adams, David Bard, Maria J. Bethke, Scott Brooks, Stephen Chomko, Robert Coleby, Charles Culberson, Robert Down, Jackie Fleming, Jim Granger, Nancy Ann Hibbs, Nick Johnson, Glen Kappy, Kevin Kinsner, Norm Lee, Loretta Lewis, Skip Long, Tom McFarlane, Dani McNutt, Sylvie Mortenson, Sandy Nickal, Kyle Osborne, Hunter Lee Pimparapana, Marvin Rath, Randall Sauls, Claire Schwebke, J. Nathan Simmons, Chloe Slator, John Turner, Walter Bailey, Ernest Andreas, Ian Bell, Todd Bethke, Martin Callahan, Cynthia Clark, Lowell Crawford, Timothy David, Flynn-Bella Ericson, Dennis Foulkrod, Ruben Haddix, Jerrall Hinds, Taryn Johnson, Jeff Kimerling, Daniel Krieger, Kerry Lee, Isabelle Leustig, Denise Lynch, Diana McGuerty, Diana Minfa, Ernest Moya, Michael Max Norris, Trevor Osborn, Michael Neal Powell, L.C. Read, Daphne D. Ross, Darrell Schmidt, Cecily Kuehl Shank, Frankey Singzilay, Isabel Slator, Elizabeth Ann Tuttle, Kristin Walter, David Jensen, Tom Larson, Matthew E. Montoya, Michael Clark, Jerry Fuentes, Tom Johnson, Alex Edmo, Girard Swan, Herman Endito, Alicia Williams, Heather Antonio, Daniel Jon Bergman, Miles Blackman, Mabel Jin Chin, Leonaldan Codanti, Jake Crellin, Rachel De la Torre, Chuck Ferran, Christopher Frechette, Bruce Harders, Perry Jasper, Dale Kappy, Kim Kimerling, Xander Laird, Michael Lente, Jennae Linnell, Lynn Macri, Henry McKeighen, Kim Montoya, Kevin New, Frank Nunn, Dara Osborne, Kristine Rael, Steve Rick, Tom E. Rostkowski, Yvonne Schmidt, Carol Sieber, Edward Sipler, Fionn Thelen, Madeline Walter, J.C. Augare, Anderson Chee, Wes Trudell, Kiela Bird, Bud Connley, Jerry Hardy, Les Schesser, Larry Hinsley, Frank Spencer, Adam Honeyfield, Greg Stevenson",10/3/2008,11/2/2010,116,Warner Bros. Pictures,Certified-Fresh,76,164,Spilled,55,55694,43,125,39
m/10009151-box,The Box,"A suburban couple, Norma (Cameron Diaz) and Arthur (James Marsden), face a moral dilemma when they receive a gift that bears irrevocable consequences. With the press of a button, their simple wooden box will bestow $1 million; however, a stranger somewhere else will die, at the same time. The box will be theirs for only 24 hours, and as time ticks away, Norma and Arthur confront the depth of their humanity as they consider their choices.","Imaginative but often preposterous, The Box features some thrills but largely feels too piecemeal.",PG-13,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne, Gillian Jacobs, Sam Oz Stone, Celia Weston, Deborah Rush, Lisa K. Wyatt, Mark S. Cartier, Kevin Robertson, Michele Durrett, Michele Durett, Ian Kahn, John Magaro, Ryan Woodle, Scott Winters, Basil Hoffman, Robert Harvey, Gentry Lee, Andrew Levitas, Gabriel Field, Frank Ridley, Daniel Stewart Sherman, Matthew C. Flynn, Patrick Eugene Canty, Sam Blumenfeld, Kevin DeCoste, Mary Klug, Allyssa Maurice, Danielle Heaton, Rachael Hunt, Michael Zegen, Rachel Hunt, Cheryl McMahon, Evelina Oboza, Bill Buell, Paul Marini, Don Warnock, W. Kirk Avery, Don Hewitt, Floyd Richardson, Dave McDonough, Rick L'Heureux, Nicholas Cairis, Robert Denton, Paul Locke, Danny DeMiller, Jenna Lamia",11/6/2009,8/1/2011,113,Warner Bros. Pictures,Rotten,44,155,Spilled,24,359098,30,68,87
